ВидНоменклатуры	Код	Артикул	Наименование	Ед
Упаковка	276	BOXAzov	Гофрокороб 430*290*710 Т-24 бурый	шт
Упаковка	277	BOXF50	Гофрокороб 485*395*510 Т-24 бурый	шт
Упаковка	278	BOXAttika	Гофрокороб 500*295*710 Т-24 бурый	шт
Упаковка	279	BOXF50LK	Гофрокороб 510*400*455 Т-24 бурый	шт
Упаковка	280	BOXReal	Гофрокороб 545*345*465 Т-24 бурый	шт
Упаковка	281	BOXDublin	Гофрокороб 570*450*660 Т-24 бурый	шт
Упаковка	282	BOXZP	Гофрокороб 610*130*710 Т-24 бурый	шт
Упаковка	283	BOXF60LKC	Гофрокороб 610*400*460 Т-24 бурый	шт
Упаковка	336		Лента клейкая 48*50 бел. 1 цв. СКС	пог. м
Упаковка	337	0120-434Х	Лента упаковочная 48мм*66м "Нова Ролл 204", прозр.	пог. м
Упаковка	338	0120-534Х	Лента упаковочная 48мм*66м "Нова Ролл 205", прозр.	пог. м
Упаковка	380	0405-044/	Пакет Zip-Lock 150мм*200мм 30 мкм	шт
Упаковка	381		Пакет Zip-Lock 200мм*250мм	шт
Упаковка	382		Пакет Zip-Lock 200мм*300мм	шт
Упаковка	383	0405-034/	Пакет Zip-Lock 60мм*80мм 25 мкм	шт
Упаковка	384		Пакет Zip-Lock 60мм*80мм 25мкм	шт
Упаковка	406		Риббон L.KURZ Wax Black (K100) 110 мм/300 м	м
Упаковка	407		Риббон L.KURZ Wax Black (K100N) 80мм/300м	м
Упаковка	445		Этикетка самоклеящаяся "ТермоЭКО", 30*20 мм	шт
Упаковка	446		Этикетка самоклеящаяся п/г бум., 75*120 мм	шт
Упаковка	920		Лента упаковочная 48мм*66м "Нова Ролл 203", прозр.	пог. м
Упаковка	927	BOXDreja	Гофрокороб 458*360*710 Т-24 бурый	шт
Упаковка	1223		Пленка стретч NR	шт
Упаковка	1350	BOXQdr	Гофрокороб 610*455*555 Т-24 бурый	шт
Упаковка	1418		Лента клейкая 72*50 бел. 2 цв. СКС	пог. м
Упаковка	1593		Этикетка самоклеящаяся "ТермоТОП", 75*120 мм (втулка 40мм, намотка 0,3 тыс.шт., 1ряд)	шт
Упаковка	1594		Пенополистирол ПСБС 15 (1*1,2*0,02), лист 1,2м2	м2
Упаковка	1648	BOXTolPrKrov	Гофрокороб 470*470*455 Т-24 бурый	шт
Упаковка	1649	BOXTolVan	Гофрокороб 640*460*550 Т-24 бурый	шт
Упаковка	1653	уг606020	Уголок из пенопласта 60*60 мм (толщина 20)	шт
Упаковка	1654		Лента п/п 15*1 d200 белый (1200м)	пог. м
Упаковка	1655		Уголок защитный пластиковый 50мм (70*110 65мм)	шт
Упаковка	1656		Уголок упаковочный У-1 К	шт
Упаковка	1657		Скрепа упаковочная 16мм (PP16) оцинкованная (1000шт)	шт
Упаковка	1658		Скрепа PET 16 оц.	шт
Упаковка	1659		Пленка 50см/20мк (прозр.первичка, нетто 1,4кг)	шт
